article,intensity_multiplier,snr_input_db,snr_recon_db,snr_improvement_db,mse_recon
Influenza,0.25,40.20275115966797,53.03925323486328,12.836502075195312,0.00046274811029434204
Influenza,0.5,34.616119384765625,46.00229263305664,11.386173248291016,0.0023390562273561954
Influenza,0.75,30.06410789489746,40.25054931640625,10.186441421508789,0.008794576860964298
Influenza,1.0,27.440271377563477,38.73286437988281,11.292593002319336,0.01247336994856596
Influenza,1.5,24.064952850341797,33.143375396728516,9.078422546386719,0.04517858102917671
Influenza,2.0,21.99220848083496,31.323604583740234,9.331396102905273,0.06869255751371384
Influenza,3.0,17.913293838500977,26.735443115234375,8.822149276733398,0.19757211208343506
Common_cold,0.25,39.73722839355469,52.68617630004883,12.94894790649414,0.00045092072105035186
Common_cold,0.5,34.150596618652344,45.18384552001953,11.033248901367188,0.002537073101848364
Common_cold,0.75,29.598583221435547,39.628440856933594,10.029857635498047,0.009117456153035164
Common_cold,1.0,26.974746704101562,38.459800720214844,11.485054016113281,0.01193266548216343
Common_cold,1.5,23.599430084228516,32.352176666259766,8.75274658203125,0.04869676008820534
Common_cold,2.0,21.526683807373047,30.560100555419922,9.033416748046875,0.07357114553451538
Common_cold,3.0,17.447769165039062,26.314115524291992,8.86634635925293,0.19557172060012817
Fever,0.25,39.66476821899414,52.18816375732422,12.523395538330078,0.0004973424365743995
Fever,0.5,34.0781364440918,44.22771072387695,10.149574279785156,0.0031095731537789106
Fever,0.75,29.526123046875,38.5649528503418,9.038829803466797,0.011454511433839798
Fever,1.0,26.90229034423828,38.6585578918457,11.756267547607422,0.011210263706743717
Fever,1.5,23.52696990966797,31.832788467407227,8.305818557739258,0.053975027054548264
Fever,2.0,21.4542236328125,29.885986328125,8.4317626953125,0.08450320363044739
Fever,3.0,17.37531089782715,26.35566520690918,8.980354309082031,0.1905045211315155
Cough,0.25,38.43311309814453,49.60832977294922,11.175216674804688,0.000678379787132144
Cough,0.5,32.84648132324219,41.802833557128906,8.956352233886719,0.004092819523066282
Cough,0.75,28.29446792602539,37.034339904785156,8.739871978759766,0.012270775623619556
Cough,1.0,25.670631408691406,38.60457992553711,12.933948516845703,0.008547678589820862
Cough,1.5,22.295312881469727,30.5277042388916,8.232391357421875,0.05489537492394447
Cough,2.0,20.22256851196289,28.38846206665039,8.1658935546875,0.089837945997715
Cough,3.0,16.143653869628906,25.363969802856445,9.220315933227539,0.18026401102542877
Christmas,0.25,40.509559631347656,53.3848762512207,12.875316619873047,0.00045863111154176295
Christmas,0.5,34.92292785644531,47.40777587890625,12.484848022460938,0.001816241187043488
Christmas,0.75,30.37091827392578,42.73550033569336,12.364582061767578,0.005325995851308107
Christmas,1.0,27.747079849243164,41.99816131591797,14.251081466674805,0.0063115330412983894
Christmas,1.5,24.371761322021484,34.172767639160156,9.801006317138672,0.03825375810265541
Christmas,2.0,22.299015045166016,32.680850982666016,10.3818359375,0.053934406489133835
Christmas,3.0,18.220102310180664,27.763980865478516,9.543878555297852,0.16732193529605865
